2021-10-19 15:43:03.593 [http-nio-9998-exec-4] INFO  com.mxy.hospital.util.HttpRequestHelper - 加密前：1000_0|10|1|1634629383577|sadjkan2334dns2ub2
2021-10-19 15:43:59.321 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=44f162029abb45f9ff0a5f743da0650d&bigname=全部科室&intro=心内科互联网诊疗&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=心内科互联网诊疗&depcode=200051188&timestamp=1634629439290&
2021-10-19 15:43:59.353 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:43:59.400 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=44f162029abb45f9ff0a5f743da0650d&bigname=全部科室&intro=特需心理医学科门诊2&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需心理医学科门诊2&depcode=200051469&timestamp=1634629439369&
2021-10-19 15:43:59.427 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:43:59.476 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需心内科门诊2&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需心内科门诊2&depcode=200041542&timestamp=1634629439444&
2021-10-19 15:43:59.504 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:43:59.553 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需消化内科门诊2&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需消化内科门诊2&depcode=200042374&timestamp=1634629439521&
2021-10-19 15:43:59.579 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:43:59.625 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需内分泌科门诊(西院)1&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需内分泌科门诊(西院)1&depcode=200040886&timestamp=1634629439595&
2021-10-19 15:43:59.653 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:43:59.699 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需呼吸内科门诊2&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需呼吸内科门诊2&depcode=200041246&timestamp=1634629439669&
2021-10-19 15:43:59.725 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:43:59.770 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需肾内科门诊2&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需肾内科门诊2&depcode=200041038&timestamp=1634629439741&
2021-10-19 15:43:59.794 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:43:59.841 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需血液内科门诊2&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需血液内科门诊2&depcode=200041244&timestamp=1634629439810&
2021-10-19 15:43:59.869 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:43:59.915 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需老年医学科门诊2&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需老年医学科门诊2&depcode=200044248&timestamp=1634629439885&
2021-10-19 15:43:59.942 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:43:59.991 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需普通内科门诊1&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需普通内科门诊1&depcode=200040166&timestamp=1634629439959&
2021-10-19 15:44:00.017 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.063 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=内科门诊(西院)&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=内科门诊(西院)&depcode=200041666&timestamp=1634629440033&
2021-10-19 15:44:00.088 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.134 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=普通内科全科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=普通内科全科门诊&depcode=200043118&timestamp=1634629440104&
2021-10-19 15:44:00.167 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.213 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=普通内科疑难病症门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=普通内科疑难病症门诊&depcode=200045974&timestamp=1634629440182&
2021-10-19 15:44:00.239 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.285 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需肿瘤内科门诊2&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需肿瘤内科门诊2&depcode=200048285&timestamp=1634629440255&
2021-10-19 15:44:00.309 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.355 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需普通内科门诊2&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需普通内科门诊2&depcode=200048369&timestamp=1634629440325&
2021-10-19 15:44:00.381 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.427 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=卫干门诊(内科)&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=卫干门诊(内科)&depcode=200048378&timestamp=1634629440396&
2021-10-19 15:44:00.454 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.500 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需免疫内科门诊2&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需免疫内科门诊2&depcode=200048380&timestamp=1634629440470&
2021-10-19 15:44:00.524 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.572 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需感染内科门诊2&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需感染内科门诊2&depcode=200048440&timestamp=1634629440540&
2021-10-19 15:44:00.596 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.642 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=内分泌科门诊(西院)&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=内分泌科门诊(西院)&depcode=200004002&timestamp=1634629440612&
2021-10-19 15:44:00.667 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.712 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需内分泌科门诊2&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需内分泌科门诊2&depcode=200004004&timestamp=1634629440683&
2021-10-19 15:44:00.738 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.785 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需普通内科门诊(西院)&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需普通内科门诊(西院)&depcode=200004020&timestamp=1634629440754&
2021-10-19 15:44:00.810 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.856 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=肿瘤内科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=肿瘤内科门诊&depcode=200004014&timestamp=1634629440825&
2021-10-19 15:44:00.881 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.927 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=心内科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=心内科门诊&depcode=200003975&timestamp=1634629440896&
2021-10-19 15:44:00.951 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:00.998 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=心内科门诊(西院)&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=心内科门诊(西院)&depcode=200003976&timestamp=1634629440966&
2021-10-19 15:44:01.023 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.072 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=心内科高血压专科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=心内科高血压专科门诊&depcode=200003977&timestamp=1634629441041&
2021-10-19 15:44:01.099 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.146 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需心内科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需心内科门诊&depcode=200003978&timestamp=1634629441115&
2021-10-19 15:44:01.170 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.215 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=神经科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=神经科门诊&depcode=200004005&timestamp=1634629441185&
2021-10-19 15:44:01.241 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.289 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=神经科门诊(西院)&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=神经科门诊(西院)&depcode=200004006&timestamp=1634629441259&
2021-10-19 15:44:01.314 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.360 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=神经内科癫痫门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=神经内科癫痫门诊&depcode=200004007&timestamp=1634629441329&
2021-10-19 15:44:01.384 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.429 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需神经科门诊2&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需神经科门诊2&depcode=200004010&timestamp=1634629441399&
2021-10-19 15:44:01.454 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.499 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=消化内科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=消化内科门诊&depcode=200003997&timestamp=1634629441470&
2021-10-19 15:44:01.524 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.569 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=消化内科门诊(西院)&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=消化内科门诊(西院)&depcode=200003998&timestamp=1634629441539&
2021-10-19 15:44:01.593 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.637 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=早期胃癌专科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=早期胃癌专科门诊&depcode=200003999&timestamp=1634629441608&
2021-10-19 15:44:01.663 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.713 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需消化内科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需消化内科门诊&depcode=200004000&timestamp=1634629441677&
2021-10-19 15:44:01.737 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.781 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=内分泌科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=内分泌科门诊&depcode=200004001&timestamp=1634629441752&
2021-10-19 15:44:01.804 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.852 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需内分泌科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需内分泌科门诊&depcode=200004003&timestamp=1634629441820&
2021-10-19 15:44:01.876 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.920 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=免疫内科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=免疫内科门诊&depcode=200003989&timestamp=1634629441891&
2021-10-19 15:44:01.944 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:01.990 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=免疫内科门诊(西院)&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=免疫内科门诊(西院)&depcode=200003990&timestamp=1634629441960&
2021-10-19 15:44:02.016 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:02.062 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需免疫内科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需免疫内科门诊&depcode=200003991&timestamp=1634629442032&
2021-10-19 15:44:02.087 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:02.132 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需免疫内科门诊(西院)&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需免疫内科门诊(西院)&depcode=200003992&timestamp=1634629442103&
2021-10-19 15:44:02.158 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:02.202 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=呼吸内科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=呼吸内科门诊&depcode=200003993&timestamp=1634629442173&
2021-10-19 15:44:02.225 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:02.271 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=呼吸内科门诊(西院)&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=呼吸内科门诊(西院)&depcode=200003994&timestamp=1634629442240&
2021-10-19 15:44:02.294 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:02.341 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=戒烟门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=戒烟门诊&depcode=200003995&timestamp=1634629442310&
2021-10-19 15:44:02.368 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:02.412 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=特需呼吸内科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=特需呼吸内科门诊&depcode=200003996&timestamp=1634629442384&
2021-10-19 15:44:02.436 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:02.484 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=肾内科门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=肾内科门诊&depcode=200003979&timestamp=1634629442454&
2021-10-19 15:44:02.509 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:44:02.554 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=1c87253ca8aa8fc966a2443eeaac0fc1&bigname=内科&intro=肾内科门诊(西院)&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=肾内科门诊(西院)&depcode=200003980&timestamp=1634629442525&
